Title,Author,PublishedAt,Description,URL
"China's Alibaba misses quarterly revenue estimates, beats on profit",,2024-11-15T12:38:00Z,"Alibaba Group Holding missed analysts' estimates for quarterly sales on Friday (Nov 15), as lingering economic uncertainty sapped consumer spending in China and weighed on the e-commerce giant's domestic business. Its US-listed shares were up 3.3 per cent in …",https://www.channelnewsasia.com/business/chinas-alibaba-misses-quarterly-revenue-estimates-beats-profit-4750116
Southeast Asia’s digital economy slows as consumers cut spending,Bloomberg,2024-11-05T04:23:00Z,"<p>Southeast Asia&rsquo;s internet economy will log its slowest growth on record this year, a group of researchers said, underscoring weakness in consumer demand and a push to show profits instead of revenue gains.</p>",https://www.bangkokpost.com/business/general/2896306/southeast-asias-digital-economy-slows-as-consumers-cut-spending
Sea Needs More Than Good Earnings to Sustain 175% Comeback Rally,Bloomberg News,2024-11-08T00:22:40Z,"After a peer-beating 175% stock rally from its January low, Southeast Asia’s top online-shopping company Sea Ltd. faces a high bar to impress investors with its upcoming third-quarter earnings report.",https://financialpost.com/pmn/business-pmn/sea-needs-more-than-good-earnings-to-sustain-175-comeback-rally
The richest Israelis revealed: Who tops the list?,BY ZVI GREENBERG,2024-11-24T19:40:36Z,Five Israelis have secured positions in Bloomberg’s list of the 500 richest individuals in the world.,https://www.jpost.com/israel-news/article-830549
"China, Indonesia seal $10 bn in deals focused on green energy and tech",Reuters,2024-11-10T17:33:54Z,"Indonesia and China solidified their strategic partnership during Indonesian President Prabowo Subianto's visit to Beijing.  The two nations inked $10 billion worth of deals spanning various sectors, including new energy, technology, and food security.  Agree…",https://economictimes.indiatimes.com/news/international/world-news/china-indonesia-seal-10-bn-in-deals-focused-on-green-energy-and-tech/articleshow/115149922.cms
GraniteShares Announces Reverse Split of NVD,GraniteShares,2024-10-28T16:15:00Z,"NEW YORK, Oct. 28, 2024 (GLOBE NEWSWIRE) -- GraniteShares has announced it will execute a reverse share split for one of its ETFs. The total market value of the shares outstanding will not be affected as a result of the transaction.",https://www.globenewswire.com/news-release/2024/10/28/2970227/0/en/GraniteShares-Announces-Reverse-Split-of-NVD.html
Temu to face EU probe over handling of illegal product sales,,2024-10-31T09:07:02Z,Investigation is part of EU crackdown on Big Tech,https://www.irishtimes.com/business/2024/10/31/temu-to-face-eu-probe-over-handling-of-illegal-product-sales/
Dave Vellante’s Breaking Analysis: The complete collection,Dave Vellante,2024-11-24T11:33:12Z,"Breaking Analysis is a weekly editorial program combining knowledge from SiliconANGLE’s theCUBE with spending data from Enterprise Technology Research. Branded as theCUBE Insights, Powered by ETR, the program is our opportunity to share independent, unfiltere…",https://siliconangle.com/2024/11/24/dave-vellantes-breaking-analysis-complete-collection/
Dave Vellante’s Breaking Analysis: The complete collection,Dave Vellante,2024-11-10T11:33:12Z,"Breaking Analysis is a weekly editorial program combining knowledge from SiliconANGLE’s theCUBE with spending data from Enterprise Technology Research. Branded as theCUBE Insights, Powered by ETR, the program is our opportunity to share independent, unfiltere…",https://siliconangle.com/2024/11/10/dave-vellantes-breaking-analysis-complete-collection/
Dave Vellante’s Breaking Analysis: The complete collection,Dave Vellante,2024-11-15T11:33:12Z,"Breaking Analysis is a weekly editorial program combining knowledge from SiliconANGLE’s theCUBE with spending data from Enterprise Technology Research. Branded as theCUBE Insights, Powered by ETR, the program is our opportunity to share independent, unfiltere…",https://siliconangle.com/2024/11/15/dave-vellantes-breaking-analysis-complete-collection/
Dave Vellante’s Breaking Analysis: The complete collection,Dave Vellante,2024-11-01T10:33:12Z,"Breaking Analysis is a weekly editorial program combining knowledge from SiliconANGLE’s theCUBE with spending data from Enterprise Technology Research. Branded as theCUBE Insights, Powered by ETR, the program is our opportunity to share independent, unfiltere…",https://siliconangle.com/2024/11/01/dave-vellantes-breaking-analysis-complete-collection/
Stock Market Live Updates 14 November 2024: Stock to sell today: Marico (₹597.60),KS Badri Narayanan,2024-11-14T01:16:02Z,"Sensex, Nifty, Share Price LIVE Today: The Marico stock has been depreciating since the beginning of October. It fell off the resistance at ₹700. The scrip continued to fall this week and broke below a support at ₹610 and also below the 200-day moving average…",https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-14-november-2024/article68864797.ece
The bright side of supplier concentration: Investor attitudes towards the reopening policy in China,Jie Su,2024-11-18T14:00:00Z,"Supplier concentration (SUC) has disadvantage of vulnerability along with cost savings and efficiency. While current scholarship focus on the vulnerability of firms with centralized suppliers during the COVID-19 epidemic, there is no empirical study that expl…",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0313682
Stock Market Live Updates 14 November 2024: Sensex and Nifty recover after sharp fall; market uncertainty persists,KS Badri Narayanan,2024-11-14T01:16:02Z,"Sensex, Nifty, Share Price LIVE Today: India’s benchmark indices traded firm in morning trade on Thursday after a sharp decline in the previous session. At 10:05 a.m., the Sensex gained 352.79 points, reaching 78,043.74, while the Nifty rose 98.35 points to 2…",https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-14-november-2024/article68864797.ece
